Doctor_ID,First_Name,Last_Name,Address,Mobile_Number,Email,License_No,Speciality,Weekly_working_hours
4000,Minerva,Mcdowell,9781 Sagittis. St.,3131277834,Duis@Suspendissedui.edu,2,SDW28XPX3MU,39
4001,Kai,Bradley,"P.O. Box 950, 4050 Egestas St.",3737787775,arcu@QuisquevariusNam.co.uk,2,FGG02POE0LD,32
4002,Chava,Brown,9327 Sagittis St.,6666668303,enim.Etiam@netusetmalesuada.edu,4,PXF35IMC6MR,35
4003,Lucas,Ratliff,"P.O. Box 444, 3800 Lacus, Ave",5726473006,odio.a.purus@vel.ca,10,MZM85BYP2OY,28
4004,Althea,Ross,"P.O. Box 527, 1908 Praesent Ave",8866883184,fames.ac.turpis@semmolestie.ca,5,NFX81IIY3ZA,34
4005,Keaton,Michael,Ap #829-6781 Nibh. St.,6845364062,tellus@luctusetultrices.co.uk,5,AUS86BDA3MP,35
4006,Gareth,Malone,"P.O. Box 564, 9860 Lorem. Street",9291874079,tempus@luctussitamet.co.uk,6,NUF15DKC3XQ,26
4007,Madaline,Wise,5248 Ipsum. Rd.,5859347284,Nullam.nisl@augue.net,6,EOC28TRZ5FL,35
4008,Amber,Richmond,"P.O. Box 895, 5101 Lobortis St.",9643522406,mi.ac@nibh.co.uk,5,NYE08QXF5RY,32
4009,Liberty,Jarvis,Ap #306-8370 Est Road,9246411766,purus.sapien@condimentum.co.uk,4,BPS14ABP8IC,30
4010,Emmanuel,Huber,238-9627 Quisque St.,6150906086,eu.odio@In.net,2,KOY78FBM1QV,33
4011,Alexis,Freeman,"P.O. Box 559, 8390 Praesent St.",3391969276,molestie.tellus@purus.org,2,FFZ23OPM2ZH,38
4012,Guy,Schroeder,Ap #687-5102 Arcu Av.,2708976858,molestie.tortor.nibh@interdumliberodui.org,9,BIC16OWF3KR,35
4013,Jin,Douglas,"653-2537 Vel, St.",4241388710,Nulla.eu.neque@aliquam.org,8,AIE85PXL3EK,31
